
//Ranking Board
//morocc2,173,86,4	duplicate(ExchageDig)	แลกของขุด	848

//Al De Baran
//morocc2,155,144,4	duplicate(Neuschwanstein2)	Neuschwanstein#am1	722
//homes1,39,63,4	duplicate(Neuschwanstein2)	Neuschwanstein#a1-6	722
c5,208,108,5	duplicate(waraldeg)	Item War#1	1395

//Geffen
//morocc2,158,144,4	duplicate(Repherion2)	Repherion#am1	722
//homes1,45,63,4	duplicate(Repherion2)	Repherion#g1-6	722
c5,205,108,5	duplicate(wargefg)	Item War#2	1396

//Payon
//morocc2,161,144,4	duplicate(BrightArbor2)	BrightArbor#am1	722
//homes1,59,63,4	duplicate(BrightArbor2)	Bright Arbor#f1-7	722
c5,202,108,4	duplicate(warpayg)	Item War#3	1397

//Pronteara
//morocc2,164,144,4	duplicate(Kriemhild2)	Kriemhild#am1	722
//homes1,65,63,4	duplicate(Kriemhild2)	Kriemhild#p1-6	722
c5,199,108,4	duplicate(warprtg)	Item War#4	1398

homes1,50,56,4	script	Kafra Express::gvg01	76,{ callfunc "KafraXX","homes1",51,53; close2;	cutin "",255;	end; }
homes1,53,56,4	duplicate(exheal)	Heal Express#gvg01	834

homes4,50,58,4	duplicate(exheal)	Heal Express#event01	834
homes4,53,58,4	shop	Shop Express#event01	967,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1

//homeb1,21,64,4	duplicate(Neuschwanstein2)	Neuschwanstein#home1	722
//homeb2,21,64,4	duplicate(Neuschwanstein2)	Neuschwanstein#home2	722
//homeb3,21,64,4	duplicate(Neuschwanstein2)	Neuschwanstein#home3	722
//homeb4,21,64,4	duplicate(Neuschwanstein2)	Neuschwanstein#home4	722
//homeb5,21,64,4	duplicate(Neuschwanstein2)	Neuschwanstein#home5	722
//homeb6,21,64,4	duplicate(Neuschwanstein2)	Neuschwanstein#home6	722
//homeb7,21,64,4	duplicate(Neuschwanstein2)	Neuschwanstein#home7	722
//homeb8,21,64,4	duplicate(Neuschwanstein2)	Neuschwanstein#home8	722
//homeb9,21,64,4	duplicate(Neuschwanstein2)	Neuschwanstein#home9	722
//homeb10,21,64,4	duplicate(Neuschwanstein2)	Neuschwanstein#home10	722

//homeb1,24,64,4	duplicate(Repherion2)	Repherion#home1	722
//homeb2,24,64,4	duplicate(Repherion2)	Repherion#home2	722
//homeb3,24,64,4	duplicate(Repherion2)	Repherion#home3	722
//homeb4,24,64,4	duplicate(Repherion2)	Repherion#home4	722
//homeb5,24,64,4	duplicate(Repherion2)	Repherion#home5	722
//homeb6,24,64,4	duplicate(Repherion2)	Repherion#home6	722
//homeb7,24,64,4	duplicate(Repherion2)	Repherion#home7	722
//homeb8,24,64,4	duplicate(Repherion2)	Repherion#home8	722
//homeb9,24,64,4	duplicate(Repherion2)	Repherion#home9	722
//homeb10,24,64,4	duplicate(Repherion2)	Repherion#home10	722

//homeb1,27,64,4	duplicate(BrightArbor2)	BrightArbor#home1	722
